Время;Канал A
(с);(В)

-1,10014987;0,00158696
-1,10009987;0,00158696
-1,10004987;0,00158696
-1,09999987;0,00158696
-1,09994987;0,00158696
-1,09989987;0,00158696
-1,09984987;0,00158696
-1,09979987;0,00158696
-1,09974987;0,00158696
-1,09969987;0,00158696
-1,09964987;0,00158696
-1,09959987;0,00158696
-1,09954987;0,00158696
-1,09949987;0,00158696
-1,09944987;0,00158696
-1,09939987;0,00158696
-1,09934987;-0,01635792
-1,09929987;0,00158696
-1,09924987;0,00158696
-1,09919987;0,00158696
-1,09914987;0,00158696
-1,09909987;0,00158696
-1,09904987;0,00158696
-1,09899987;0,00158696
-1,09894987;0,00158696
-1,09889987;0,00158696
-1,09884987;0,00158696
-1,09879987;0,00158696
-1,09874987;0,00158696
-1,09869987;0,00158696
-1,09864987;0,00158696
-1,09859987;0,00158696
-1,09854987;0,00158696
-1,09849987;0,00158696
-1,09844987;0,00158696
-1,09839987;0,00158696
-1,09834987;0,00158696
-1,09829987;0,00158696
-1,09824987;0,00158696
-1,09819987;0,00158696
-1,09814987;0,00158696
-1,09809987;0,00158696
-1,09804987;0,00158696
-1,09799987;0,00158696
-1,09794987;0,00158696
-1,09789987;0,00158696
-1,09784987;0,00158696
-1,09779987;0,00158696
-1,09774987;0,00158696
-1,09769987;0,00158696
-1,09764987;-0,01635792
-1,09759987;0,00158696
-1,09754987;0,00158696
-1,09749987;0,00158696
-1,09744987;0,00158696
-1,09739987;-0,01635792
-1,09734987;0,00158696
-1,09729987;0,00158696
-1,09724987;0,00158696
-1,09719987;-0,01635792
-1,09714987;0,00158696
-1,09709987;0,00158696
-1,09704987;0,00158696
-1,09699987;-0,01635792
-1,09694987;-0,01635792
-1,09689987;0,00158696
-1,09684987;0,00158696
-1,09679987;0,00158696
-1,09674987;0,00158696
-1,09669987;0,00158696
-1,09664987;0,00158696
-1,09659987;0,00158696
-1,09654987;0,00158696
-1,09649987;0,00158696
-1,09644987;0,00158696
-1,09639987;0,00158696
-1,09634987;-0,01635792
-1,09629987;0,00158696
-1,09624987;0,00158696
-1,09619987;0,00158696
-1,09614987;0,00158696
-1,09609987;0,00158696
-1,09604987;0,00158696
-1,09599987;0,00158696
